total,kl,recon,reward,continue,grad_norm
3.305999517440796,1.0797194242477417,0.3896280825138092,1.1350886821746826,0.70156329870224,3.534517288208008
2.5279669761657715,1.051575779914856,0.16984820365905762,0.6963582634925842,0.6101846098899841,3.048180341720581
1.7873005867004395,1.0013511180877686,0.09578443318605423,0.2120104432106018,0.47815465927124023,2.347207546234131
2.2877557277679443,1.3564732074737549,0.13338251411914825,0.5858073830604553,0.2120925486087799,15.552947998046875
1.3825936317443848,1.0,0.17517825961112976,0.0254913792014122,0.18192394077777863,1.237121343612671
1.3933706283569336,1.0001991987228394,0.16212104260921478,0.09851773828268051,0.13253255188465118,1.815018653869629
1.3505873680114746,1.0284639596939087,0.13677985966205597,0.10811368376016617,0.07722983509302139,1.8581452369689941
1.2747355699539185,1.0640830993652344,0.1056862398982048,0.06191122531890869,0.04305506497621536,2.457226514816284
1.1537139415740967,1.0007528066635132,0.084492526948452,0.0356011800467968,0.032867372035980225,0.6023977398872375
1.1433502435684204,1.0000072717666626,0.0753588080406189,0.041466694325208664,0.0265174712985754,0.6035431623458862
1.1581461429595947,1.0000075101852417,0.07578650116920471,0.05706724151968956,0.025284940376877785,1.1541115045547485
1.1397182941436768,1.000437617301941,0.07517950236797333,0.04106820002198219,0.023033032193779945,0.8296847939491272
1.131876826286316,1.0031439065933228,0.07533207535743713,0.022369345650076866,0.03103143349289894,0.4094753563404083
1.1224461793899536,1.0061091184616089,0.07060981541872025,0.020336119458079338,0.02539106272161007,0.5261749029159546
1.1333414316177368,1.0070544481277466,0.06855569779872894,0.02379722334444523,0.033934012055397034,0.6614558696746826
1.1161470413208008,1.001853108406067,0.06396219879388809,0.023128127679228783,0.02720361016690731,0.5923387408256531
1.1062849760055542,1.0008083581924438,0.05923990160226822,0.016908016055822372,0.029328683391213417,0.34585264325141907
1.102691411972046,1.000614881515503,0.05473518744111061,0.0165268462151289,0.03081456571817398,0.37012994289398193
1.0980764627456665,1.0005491971969604,0.048480771481990814,0.018257267773151398,0.03078925609588623,0.5494256019592285
1.0837066173553467,1.0006904602050781,0.0440535731613636,0.015523006208240986,0.02343965880572796,0.5357049107551575
1.0834678411483765,1.0009620189666748,0.04312356933951378,0.009743014350533485,0.029639234766364098,0.3336544632911682
1.076806902885437,1.0012677907943726,0.04090757668018341,0.006886223331093788,0.02774529904127121,0.2073201686143875
1.077170491218567,1.001452922821045,0.040876541286706924,0.00840427540242672,0.02643677219748497,0.36176130175590515
1.0714130401611328,1.0016682147979736,0.039073143154382706,0.010110652074217796,0.02056109346449375,0.40838950872421265
1.0745124816894531,1.001447081565857,0.03783797100186348,0.009742881171405315,0.02548459731042385,0.3782884478569031
1.0734440088272095,1.0012173652648926,0.036805104464292526,0.00826597772538662,0.027155552059412003,0.27959170937538147
1.06181800365448,1.0011597871780396,0.03339958190917969,0.0077177914790809155,0.01954079419374466,0.1987287849187851
1.0611823797225952,1.0008636713027954,0.03301529213786125,0.008258387446403503,0.019045166671276093,0.2997564971446991
1.0638045072555542,1.000665307044983,0.031485069543123245,0.008307051844894886,0.023346994072198868,0.2824263274669647
1.0590416193008423,1.000308632850647,0.03006712906062603,0.006768662948161364,0.0218972060829401,0.31087183952331543
1.0500556230545044,1.00027334690094,0.0286759864538908,0.004878116771578789,0.016228117048740387,0.15520204603672028
1.048340916633606,1.000396966934204,0.02864948660135269,0.0039160000160336494,0.015378515236079693,0.23684947192668915
1.049401044845581,1.000629186630249,0.02779010310769081,0.0037747430615127087,0.017207080498337746,0.21029150485992432
1.0471736192703247,1.000709056854248,0.02792101725935936,0.003708574688062072,0.01483494509011507,0.2710743844509125
1.0452673435211182,1.0009185075759888,0.02638525515794754,0.0034749400801956654,0.014488608576357365,0.16855445504188538
1.044386625289917,1.0008065700531006,0.02585173025727272,0.0031181108206510544,0.014610182493925095,0.142945796251297
1.047279953956604,1.0007160902023315,0.02626155875623226,0.0030839622486382723,0.017218345776200294,0.231549471616745
1.0434627532958984,1.0006051063537598,0.024760441854596138,0.00316323502920568,0.014933953061699867,0.18569093942642212
1.0400893688201904,1.000622272491455,0.02318868599832058,0.0029242325108498335,0.013354122638702393,0.22211052477359772
1.0363813638687134,1.000562310218811,0.021881040185689926,0.0026110708713531494,0.011327017098665237,0.12319248169660568
1.0443211793899536,1.0008329153060913,0.022491445764899254,0.002512608654797077,0.018484225496649742,0.15758152306079865
1.0370099544525146,1.0003767013549805,0.02157806046307087,0.002507287310436368,0.012547861784696579,0.13982219994068146
1.0458621978759766,1.0004477500915527,0.020643675699830055,0.0023969709873199463,0.02237378992140293,0.1563599556684494
1.0341016054153442,1.0003052949905396,0.020422620698809624,0.002290611155331135,0.01108316145837307,0.12476692348718643
1.0337343215942383,1.0004431009292603,0.019934045150876045,0.0020641398150473833,0.01129304338246584,0.11145728081464767
1.034416675567627,1.0004916191101074,0.019307324662804604,0.0019288718467578292,0.01268876250833273,0.15419140458106995
1.0326720476150513,1.0006146430969238,0.01883504167199135,0.001802153536118567,0.011420080438256264,0.09751710295677185
1.0337547063827515,1.000925064086914,0.018494198098778725,0.0017167710466310382,0.012618607841432095,0.1442112922668457
1.0319513082504272,1.0011451244354248,0.01754738762974739,0.001600644551217556,0.011658151634037495,0.10870061069726944
1.0344889163970947,1.000803828239441,0.01686561480164528,0.0015264892717823386,0.015293020755052567,0.22568292915821075
1.028753638267517,1.00051748752594,0.016629934310913086,0.001479009399190545,0.010127154178917408,0.0743195116519928
1.0395429134368896,1.000520944595337,0.01727394387125969,0.0014852415770292282,0.020262883976101875,0.24530161917209625
